单词,中文
fur,n.（动物的）软毛，毛皮
paw,n.（动物的）爪
basket,n.篮子
noisy,adj.吵闹的，嘈杂的
thirsty,口渴的
honest,adj.诚实的；正直的
secret,n.秘密
keep a secret,vi.&vt.保守秘密
joy,n.欢乐，高兴；乐趣
care,vi.&vt.关心，关注，在意
care about,关心，关怀
yourself,pron.你自己
teenager,n.（13至19岁的）青少年
magazine,n.杂志
good-looking,adj.好看的，漂亮的
humorous,adj.幽默的
polite,adj.礼貌的
tidy,adj.爱整洁的，整洁的
make,linking v.成为；合适
trust,vt.信任
lie,n.说谎
joke,n.玩笑
TRUE,adj.确实的;的确
generous,adj.慷慨的，大方的
willing,adj.乐意的，愿意的
any time,adv.在任何时候
voice,n.嗓音
singer,n.歌手
almost,adv.几乎，差不多
round,adj.圆形的
sense,n.感觉；观念，意识
humour,n.〈英语〉幽默
bored,adj.无聊的
fit,vi.可容纳，装进
knock,vt.碰，撞；把…撞击成
onto,prep.到…的上面
straight,adj.笔直的
sweet,adj.可爱的，惹人喜爱的
smile,vi.微笑
personality,n.个性
choose,vi.&vt.选择；挑选
worse,adj.更差，更糟，最坏
worst,adj.最差，最糟，最坏
height,n.高，高度
weight,n.重量
sec.,(=second) abbr.秒
competition,n.竞赛，比赛；竞争
test,n.测试，考查
swimmer,n.游泳者
plan,n.打算，计划
social,adj.社会的
social worker,n.社会工作者
ponytail,n.马尾辫
shy,adj.害羞的
square,adj.方形的
smiling,微笑的，带着笑意的
handsome,adj.英俊的
fat,adj.胖的
hard-working,勤奋的，工作努力的
patient,adj.耐心的
smile,vi.微笑
unhappy,adj.不快乐的，悲伤的
excellent,adj.杰出的，极好的
advertisement,（=ad）广告
British,adj.英国的
biscuit,n.〈英〉饼干
lorry,n.〈英〉卡车
rubber,n.〈英〉橡皮
American,adj.美国的
eraser,n.〈美〉橡皮
soccer,n.〈美〉英式足球
vacation,n.〈美〉假期
cookie,n.〈美〉饼干
fall,n.〈美〉秋天
store,n.〈美〉商店
truck,n.〈美〉卡车
yard,n.〈美〉院子
movie,n.〈美〉电影
mixed,adj.男女混合的；混合的
French,n.法语
foreign,adj.外国的
language,n.语言
during,prep.在…期间
discuss,vt.讨论，议论
in class,在课堂上
guy,n.〈口〉家伙
buddy,n.〈口〉好朋友；搭档
offer,vt.主动提出，自愿给予
end,vi.&vt.结束
baseball,n.棒球
win,vi.&vt.赢得；赢，获胜
least,adj.最少的；最小的
further,（far的比较级）较远
farther,（far的比较级）较远
furthest,（far的最高级）最远
farthest,（far的最高级）最远
spend,vt.花费（时间或金钱）
spend time on/doing sth.,花时间做某事
uniform,n.制服
chess,n.国际象棋
at most,最多
daily,adj.每日的，日常的
weekly,adj.每周的
quick,adj.快的
through,prep.自始至终，从头到尾
look through,浏览，快速查看
real,adj.真实的，真的
at first,起初，首先
keep (on) doing sth,继续，重复做某事
finish,vi.&vt.完成；结束
lunchtime,n.午餐时间
physics,n.物理（学）
badminton,n.羽毛球
ideal,adj.理想的
come on,来吧；赶快
ourselves,pron.我们自己
enjoy oneself,玩得愉快
Australia,n.澳大利亚
take care,保重
coffee,n.咖啡
top,n.顶部，（物体的）上面
president,n.总统，国家主席
wide,adj.…宽的；宽广的
steel,n.钢
ton,n.吨
fine,adv.够好，蛮不错
join,vt.&vi.加入，参加
myself,pron.我自己
shine,vi.照耀，发光
clear,adj.晴朗的，清晰的
sky,n.天，天空
journey,n.旅行，旅程
boring,adj.乏味的
finally,adv.最后
arrive,vi.到达
arrive at/in,到达
can't wait,迫不及待
get off,下车
interest,n.令人感兴趣的事(或人)
place of interest,n.景点
not believe one's eyes,不相信自己眼睛,非常惊讶
main,adj.主要的
sights[,复]名胜，风景
culture,n.文化
Internet,n.网络
page,n.页，页面，页码
home page,n.主页
yourselves,pron.你们自己
themselves,pron.他们自己
by oneself,独立地，独自
itself,pron.它自己
pull,vt.&vi.拉；拖；移开
rock,n.岩石
luckily,adv.幸好，幸运的是
climber,n.登山者，攀爬者
final,n.决赛
support,n.支持
take place,进行，发生
cheer,vi.&vt.欢呼，喝彩
reach,vt.到达
half-time,n.中场休息
get on,上车
cost,n.费用，价钱
rest,vi.休息，歇息
free,adj.免费的
helpless,adj.无助的
useful,adj.有用的，有益的
useless,adj.无用的
cheer,vi.&vt.欢呼，喝彩
hope,n.希望
meaning,n.意思
taste,n.味道；品味
cheerful,adj.兴高采烈的
colourful,adj.多彩的
ticket,n.票，入场劵
keep,vt.留着，不退还
square,n.广场
instruction,n.指示
had better,（='d better）最好
tool,n.工具
brush,n.刷子；画笔
glue,n.胶水
rope,n.绳索
scissors,n.[复]剪刀
tape,n.磁带；胶带
DIY,n.自己动手做
exactly,adv.确切地，精确地
stand for,代表；象征
repair,vt.修补
decorate,vt.装饰
instead of,而不是，代替
rose,n.玫瑰（花）
crazy,adj.着迷的,狂热的,发疯的
be crazy about,对…着迷
terrible,adj.可怕的
once,adv.曾经，一度
put in,安装，使...在内，放进
mistake,n.错误，失误
make a mistake,犯错误
power cut,n.供电中断，停电
pipe,n.管子，水管
fill,vt.使充满
fill ... With ...,用……填充……
not only ... but (also),不仅…而且…,…和…都
ceiling,n.天花板
shelf,(pl. shelves) 架子，搁板
whoops,哎呀 n.大叫,呐喊,喘息声
advise,vt.&vi.建议，忠告，劝告
course,n.课程；过程
already,adv.已经
instead,adv.反而，却，代替
attend,vt.&vi.经常去；出席
cut,vt.剪下，切下，割下
sentence,n.句子
grape,n.葡萄
strawberry,n.草莓
spoon,n.匙，调羹
salad,n.沙拉；色拉
cream,n.奶油；乳脂；霜
mix,vt.&vi.混合
add,vt.&vi.增加，补充
tip,n.指示，指点
example,n.例子；榜样
for example,例如
leave,v.离开 vt.使处于某种状态
sauce,n.调味汁，酱
ham,n.火腿
correct,adj.正确的
finished,adj.完成
certain,adj.确定的
active,adj.积极的,活跃的,主动的
possible,adj.可能的
tidy,vi.&vt.收拾,整理v.使整洁
tidy up,收拾妥，整理好
secret,adj.秘密的
keep it secret,保密
wrong,adv.错误地，不对
go wrong,弄错;犯错;（机器）出故障
spell,vt.&vi.拼写
cut out,剪出
balloon,n.气球
stick,vt.&vi.粘住，钉住
cover,n.封面；盖子，罩
complete,vt.完成
paint,n.颜料
furniture,n.家具
wild,野生的;自然环境;野生状态
free,adj. 自由的，不手术博的
dish,n. 一道菜；盘，碟
no way,（口语）不可能
pity,n.同情
have/take pity on,同情，怜悯
die,vi.死
in fact,实际上，事实上（短语）
dolphin,n.海豚
giant panda,n.大熊猫
squirrel,n.松鼠
zebra,n.斑马
mean,vt.意思是，意味着
be born,出生，出世（短语）
beginning,n.开始，起初
in the beginning,开始，起初,在开始的时候
sadly,令人遗憾地,不幸地,伤心地
face,vt.面临,面对 n.脸,面孔
live on,以食.....为生（短语）
mainly,adv.主要地；大部分
result,n.结果
as a result,因此（短语）
danger,n.危险
in danger,处境危险（短语）
action,n.行动；行为
take action,采取行动（短语）
right away,立刻，马上（短语）
reserve,n.（动植物）保护区
law,n.法律，法规
none,pron.没有一个（人或物）
at birth,出生时，诞生时（短语）
closed,adj.关闭的
bat,n.蝙蝠
bee,n.蜜蜂
lost,adj.迷路的，迷失的
get lost,迷路（短语）
the same...as,与……同样
save,vt.&vi. 储存，节省
stripe,n. 条纹，斑纹
while,n.一会儿，一段时间
quality,n.特性，才能，才能
hunter,n.猎人
catch,vt.捉住，捕获
wolf,n.狼
thick,adj.厚的；密的；浓的
lose,vt.失去,被…夺去;输掉
living,n.生存, 生计
kill,vt.&vi. 杀死
human,n.人，人类
yours sincerely,(正式信件署名前)你真诚的
sorry,adj.难过的，遗憾的
pity,n.同情
sell,vt.&vi. 卖，出售
